Year,Country,Average,Standard Error
2012,Sweden,485,(3.0)
2012,Switzerland,515,(2.7)
2012,Turkey,463,(3.9)
2012,United Kingdom,514,(3.4)
2012,United States,497,(3.8)
2009,Selected countries and jurisdictions,498,(0.5)
2009,Australia,527,(2.5)
2009,Austria,494,(3.2)
2009,Belgium,507,(2.5)
2009,Canada,529,(1.6)
2009,Chile,447,(2.9)
2009,Colombia,402,(3.6)
2009,Czech Republic,500,(3.0)
2009,Denmark,499,(2.5)
2009,Estonia,528,(2.7)
2009,Finland,554,(2.3)
2009,France,498,(3.6)
2009,Germany,520,(2.8)
2009,Greece,470,(4.0)
2009,Hungary,503,(3.1)
2009,Iceland,496,(1.4)
2009,Ireland,508,(3.3)
2009,Israel,455,(3.1)
2009,Italy,489,(1.8)
2009,Japan,539,(3.4)
2009,Korea,538,(3.4)
2009,Latvia,494,(3.1)
2009,Lithuania,491,(2.9)
2009,Luxembourg,484,(1.2)
2009,Mexico,416,(1.8)
2009,Netherlands,522,(5.4)
2009,New Zealand,532,(2.6)
2009,Norway,500,(2.6)
2009,Poland,508,(2.4)
2009,Portugal,493,(2.9)
2009,Slovak Republic,490,(3.0)
2009,Slovenia,512,(1.1)
2009,Spain,488,(2.1)
2009,Sweden,495,(2.7)
2009,Switzerland,517,(2.8)
2009,Turkey,454,(3.6)
2009,United Kingdom,514,(2.5)
2009,United States,502,(3.6)
2006,Selected countries and jurisdictions,495,(0.5)
2006,Australia,527,(2.3)
2006,Austria,511,(3.9)
2006,Belgium,510,(2.5)
2006,Canada,534,(2.0)
2006,Chile,438,(4.3)
2006,Colombia,388,(3.4)
2006,Czech Republic,513,(3.5)
2006,Denmark,496,(3.1)
2006,Estonia,531,(2.5)
2006,Finland,563,(2.0)
2006,France,495,(3.4)
2006,Germany,516,(3.8)
2006,Greece,473,(3.2)
2006,Hungary,504,(2.7)
2006,Iceland,491,(1.6)
2006,Ireland,508,(3.2)
2006,Israel,454,(3.7)
2006,Italy,475,(2.0)
2006,Japan,531,(3.4)
2006,Korea,522,(3.4)
2006,Latvia,490,(3.0)
2006,Lithuania,488,(2.8)
2006,Luxembourg,486,(1.1)
2006,Mexico,410,(2.7)
2006,Netherlands,525,(2.7)
2006,New Zealand,530,(2.7)
2006,Norway,487,(3.1)
2006,Poland,498,(2.3)
2006,Portugal,474,(3.0)
2006,Slovak Republic,488,(2.6)
2006,Slovenia,519,(1.1)
2006,Spain,488,(2.6)
2006,Sweden,503,(2.4)
2006,Switzerland,512,(3.2)
2006,Turkey,424,(3.8)
2006,United Kingdom,515,(2.3)
2006,United States,489,(4.2)
2003,Selected countries and jurisdictions,,
2003,Australia,,
2003,Austria,,
2003,Belgium,,
2003,Canada,,
2003,Chile,,
2003,Colombia,,
2003,Czech Republic,,
2003,Denmark,,
2003,Estonia,,
2003,Finland,,
2003,France,,
2003,Germany,,
2003,Greece,,
2003,Hungary,,
2003,Iceland,,
2003,Ireland,,
2003,Israel,,
2003,Italy,,
2003,Japan,,
2003,Korea,,
2003,Latvia,,
2003,Lithuania,,
2003,Luxembourg,,
2003,Mexico,,
2003,Netherlands,,
2003,New Zealand,,
2003,Norway,,
2003,Poland,,
2003,Portugal,,
2003,Slovak Republic,,
2003,Slovenia,,
2003,Spain,,
2003,Sweden,,
2003,Switzerland,,
2003,Turkey,,
2003,United Kingdom,,
2003,United States,,
2000,Selected countries and jurisdictions,,
2000,Australia,,
2000,Austria,,
2000,Belgium,,
2000,Canada,,
2000,Chile,,
2000,Colombia,,
2000,Czech Republic,,
2000,Denmark,,
2000,Estonia,,
2000,Finland,,
2000,France,,
2000,Germany,,
2000,Greece,,
2000,Hungary,,
2000,Iceland,,
2000,Ireland,,
2000,Israel,,
2000,Italy,,
2000,Japan,,
2000,Korea,,
2000,Latvia,,
2000,Lithuania,,
2000,Luxembourg,,
2000,Mexico,,
2000,Netherlands,,
2000,New Zealand,,
2000,Norway,,
2000,Poland,,
2000,Portugal,,
2000,Slovak Republic,,
2000,Slovenia,,
2000,Spain,,
2000,Sweden,,
2000,Switzerland,,
2000,Turkey,,
2000,United Kingdom,,
2000,United States,,
