Year,Country,Average,Standard Error,Average,Standard Error
2006,Germany,512,(3.8),519,(4.6)
2006,Greece,479,(3.4),468,(4.5)
2006,Hungary,501,(3.5),507,(3.3)
2006,Iceland,494,(2.1),488,(2.6)
2006,Ireland,509,(3.3),508,(4.3)
2006,Israel,452,(4.2),456,(5.6)
2006,Italy,474,(2.5),477,(2.8)
2006,Japan,530,(5.1),533,(4.9)
2006,Korea,523,(3.9),521,(4.8)
2006,Latvia,493,(3.2),486,(3.5)
2006,Lithuania,493,(3.1),483,(3.1)
2006,Luxembourg,482,(1.8),491,(1.8)
2006,Mexico,406,(2.6),413,(3.2)
2006,Netherlands,521,(3.1),528,(3.2)
2006,New Zealand,532,(3.6),528,(3.9)
2006,Norway,489,(3.2),484,(3.8)
2006,Poland,496,(2.6),500,(2.7)
2006,Portugal,472,(3.2),477,(3.7)
2006,Slovak Republic,485,(3.0),491,(3.9)
2006,Slovenia,523,(1.9),515,(2.0)
2006,Spain,486,(2.7),491,(2.9)
2006,Sweden,503,(2.9),504,(2.7)
2006,Switzerland,509,(3.6),514,(3.3)
2006,Turkey,430,(4.1),418,(4.6)
2006,United Kingdom,510,(2.8),520,(3.0)
2006,United States,489,(4.0),489,(5.1)
2003,Selected countries and jurisdictions,,,,
2003,Australia,,,,
2003,Austria,,,,
2003,Belgium,,,,
2003,Canada,,,,
2003,Chile,,,,
2003,Colombia,,,,
2003,Czech Republic,,,,
2003,Denmark,,,,
2003,Estonia,,,,
2003,Finland,,,,
2003,France,,,,
2003,Germany,,,,
2003,Greece,,,,
2003,Hungary,,,,
2003,Iceland,,,,
2003,Ireland,,,,
2003,Israel,,,,
2003,Italy,,,,
2003,Japan,,,,
2003,Korea,,,,
2003,Latvia,,,,
2003,Lithuania,,,,
2003,Luxembourg,,,,
2003,Mexico,,,,
2003,Netherlands,,,,
2003,New Zealand,,,,
2003,Norway,,,,
2003,Poland,,,,
2003,Portugal,,,,
2003,Slovak Republic,,,,
2003,Slovenia,,,,
2003,Spain,,,,
2003,Sweden,,,,
2003,Switzerland,,,,
2003,Turkey,,,,
2003,United Kingdom,,,,
2003,United States,,,,
2000,Selected countries and jurisdictions,,,,
2000,Australia,,,,
2000,Austria,,,,
2000,Belgium,,,,
2000,Canada,,,,
2000,Chile,,,,
2000,Colombia,,,,
2000,Czech Republic,,,,
2000,Denmark,,,,
2000,Estonia,,,,
2000,Finland,,,,
2000,France,,,,
2000,Germany,,,,
2000,Greece,,,,
2000,Hungary,,,,
2000,Iceland,,,,
2000,Ireland,,,,
2000,Israel,,,,
2000,Italy,,,,
2000,Japan,,,,
2000,Korea,,,,
2000,Latvia,,,,
2000,Lithuania,,,,
2000,Luxembourg,,,,
2000,Mexico,,,,
2000,Netherlands,,,,
2000,New Zealand,,,,
2000,Norway,,,,
2000,Poland,,,,
2000,Portugal,,,,
2000,Slovak Republic,,,,
2000,Slovenia,,,,
2000,Spain,,,,
2000,Sweden,,,,
2000,Switzerland,,,,
2000,Turkey,,,,
2000,United Kingdom,,,,
2000,United States,,,,
